time,lat,lon,prcp_mod,tmax_mod,prcp_QR,tmax_QR,prcp_CCA,tmax_CCA
1970-01-01,1,1,1.07771386902529,266.28266688752,0.20649054477850448,271.48918886017196,0.0,271.0859673931324
1970-01-01,1,2,2.69334454355671,266.963900694102,0.5350730769783534,271.9236396834439,0.0,272.26947660327744
1970-01-01,1,3,4.48483656334254,264.84090857828,0.9316703502311976,270.83588805790356,0.7017297728469132,272.7527482227471
1970-01-01,1,4,4.43768670435265,263.812801029212,1.0261100928557054,270.38859871936774,1.1079597572610758,272.1195312054555
1970-01-01,1,5,2.7758432082282,263.776024461676,0.7100981473801866,271.01715999309306,0.8272238616278965,272.0700567876193
1970-01-01,2,1,3.23650501800586,264.675238388326,0.6811234221517503,270.0391419763476,0.472947636672035,270.99400100237006
1970-01-01,2,2,3.87115187706489,265.717315447514,0.658697699619269,270.95650210887356,0.3860860211954474,271.870807044453
1970-01-01,2,3,4.65463487747408,264.333044927267,0.8624550699209812,270.19158114837956,0.7856428293499812,271.8855463863687
1970-01-01,2,4,4.92959125523048,263.060721208812,0.8085967601917035,269.7707151883963,0.9963413641810759,271.59590580275903
1970-01-01,2,5,3.54140667859918,263.120762861379,0.8044241892558742,270.32786095588114,1.056560290922715,271.65190388885077
1970-01-01,3,1,3.98167633313067,263.696577813455,0.8455004889048469,269.1442310434954,0.6817623660291878,270.7661713781066
1970-01-01,3,2,4.56959028505373,263.340681108599,0.7358735369922118,269.2743061345561,0.7652648710916412,270.59444424981814
1970-01-01,3,3,3.96666594004837,262.959191476999,0.5960390045183714,269.33223938621984,0.8080837280038747,270.7598738925633
1970-01-01,3,4,4.3108697106637,261.727978751644,0.713732539813807,268.903681712589,1.1376377874159402,270.57949911427363
1970-01-01,3,5,3.33566295718273,262.371133334847,0.6934040418087596,269.7303588765659,1.167122453304847,270.9442763572277
1970-01-01,4,1,2.93725852713896,262.467380950844,0.6349870384621854,267.9683793983222,0.8991125387735008,268.8592825388294
1970-01-01,4,2,4.11763188357888,261.850138212796,0.5573466596823552,268.37307470150813,0.8089294722102857,269.5230505722902
1970-01-01,4,3,3.50345363386333,261.299232649393,0.4754730877939737,268.61461835214646,0.9120125459691097,269.4253166051273
1970-01-01,4,4,2.68240514482093,262.121766045371,0.41427802027738997,269.3022941067114,1.0215719564743848,270.1599667701143
1970-01-01,4,5,2.14409539916904,262.564180120759,0.44156944450506297,270.0505070637995,1.1139752479309517,270.7079273587579
1970-01-01,5,1,1.96349325493947,262.53152855544,0.41835406544371634,268.0130717266999,0.7369400396887636,268.4110054056997
1970-01-01,5,2,2.93700730172075,260.718237159119,0.5458967211277667,267.2917881546438,1.1616374808848304,268.1923356837211
1970-01-01,5,3,2.97068071739373,260.914553773626,0.5408584738105712,268.13436240823006,1.2608216703746153,269.756544238256
1970-01-01,5,4,2.78183937456633,261.443771313221,0.4944258059747693,268.90427092836967,1.165643943423786,269.8316821084183
1970-01-01,5,5,1.79432202795307,261.63608550198,0.3921692911613054,269.2119039869356,1.3221350217259302,270.5190226419944
1971-01-01,1,1,0.952621978076596,267.45497785278,0.1661816430428702,272.6386139075944,0.0,271.99334389159475
1971-01-01,1,2,0.823853651209329,268.362823366881,0.08340857893586363,272.97113026899905,0.0,271.7138176956645
1971-01-01,1,3,0.0,269.2220689075,0.0,274.18545483287375,0.0,272.37604610954963
1971-01-01,1,4,0.814359757394036,267.667048373884,0.042913498112286105,273.6901498843682,0.0,272.86346676718324
1971-01-01,1,5,0.983469161699733,266.356251659796,0.1494392091652356,273.5576628996036,0.0,272.8498420074297
1971-01-01,2,1,2.8624139848965,266.492466806036,0.5861221925691739,271.5434071355732,0.13238682441147084,271.96451194095255
1971-01-01,2,2,2.81927994453099,268.422803836116,0.44779507284017867,272.78435491338917,0.0,272.91869440668563
1971-01-01,2,3,1.19799703431561,269.053667566978,0.10065571304273266,273.3031280126199,0.0,272.3670934749457
1971-01-01,2,4,1.3816450279783,267.707956456256,0.11350953912054317,272.9969798177459,0.0,272.34856005832563
1971-01-01,2,5,1.22883450886077,267.166153444916,0.18220202577899539,273.61135850808256,0.0,273.00559688451233
1971-01-01,3,1,4.07726191823716,265.090500915089,0.8692273084695886,270.34302743225567,0.44717638951314764,271.78850107009237
1971-01-01,3,2,4.25228613111287,267.011981546177,0.6761136483539576,271.6951323557392,0.28757538099495056,272.4970424917052
1971-01-01,3,3,2.67365857309645,268.463066320567,0.3593627096451871,272.79229398917545,0.0,272.8741370838991
1971-01-01,3,4,1.27066899915392,268.422840493636,0.10684124873268726,273.4925818858737,0.0,272.964584509764
1971-01-01,3,5,1.16482640855561,268.64722740859,0.1510465813428961,274.8983469164347,0.0,274.3259612944153
1971-01-01,4,1,4.93006246304334,265.302252701599,1.197398270468542,270.49721151304635,0.8316155647157246,272.23597273402277
1971-01-01,4,2,3.8676271943295,267.518117008088,0.5157951393733232,272.02700040928653,0.09684135890531634,272.5872269011019
1971-01-01,4,3,2.77991224409746,268.81674640166,0.35252917868842676,273.12482973140004,0.0,273.23236210530575
1971-01-01,4,4,1.57947276646337,269.693402049259,0.17530921431292695,274.5018627578511,0.0,273.7351277911117
1971-01-01,4,5,1.52137243803283,270.16575417012,0.26244215743331206,276.29027666356967,0.0,275.76191680161935
1971-01-01,5,1,2.78602594218689,265.806084445455,0.6634762016963452,271.19650012299627,0.25443722626338905,272.01251382606387
1971-01-01,5,2,2.75688665437971,267.717162492741,0.5023582254732804,272.9583255991429,0.0,273.3286595935113
